@relation 'day-of-week-train_set.txt'
@attribute F0 real
@attribute F1 real
@attribute F2 real
@attribute F3 real
@attribute F4 real
@attribute F5 real
@attribute F6 real
@attribute F7 real
@attribute F8 real
@attribute F9 real
@attribute F10 real
@attribute F11 real
@attribute F12 {1,-1}
@data
0.11760959095825259,0,1,0.005813953488372093,0.011750889429104272,2,0.0013020833333333333,0.01704923897625215,102,71,9,1529,1
0.1160951997420629,1,0,0.0,0.0,0,0.0,0.0,102,237,9,36,1
0.11170303916921351,0,1,0.002074688796680498,0.005072679529395295,0,0.0,0.0,102,381,9,480,1
0.16050234805708766,0,0,0.0,0.0,0,0.0,0.0,102,1,9,434,1
0.1141456210768434,0,17,1.976790157910649E-4,0.005742743160808693,6,0.00129366106080207,0.029376843282615448,102,85913,9,4635,1
0.006698898090881607,0,2,3.7230081906180194E-4,0.002727358381194988,1,0.009174311926605505,0.033167906340332974,102,5272,9,101,-1
0.0,0,0,0.0,0.0,0,0.0,0.0,102,38,9,8,-1
0.006698898090881607,0,1,1.3204806549584047E-4,0.0011454640999903178,0,0.0,0.0,102,7472,9,29,-1
0.004701473797821742,0,0,0.0,0.0,0,0.0,0.0,102,464,9,39,-1
0.24636723084660567,1,4,0.024096385542168676,0.10508138749854676,1,0.041666666666666664,0.14744195615489714,9,161,2,23,1
0.24989696471175762,0,2,4.9982506122857E-6,0.0010539173541915484,1,3.546099290780142E-4,0.01331795258076845,9,400133,2,2819,1
0.24989696471175762,1,2,0.005050505050505051,0.03380134177089292,1,0.010416666666666666,0.07254762501100116,9,389,2,95,1
0.0,0,0,0.0,0.0,0,0.0,0.0,9,317,2,445,-1
0.0,0,0,0.0,0.0,0,0.0,0.0,9,36,2,3,-1
0.0,0,0,0.0,0.0,0,0.0,0.0,9,173,2,16,-1
0.0,0,0,0.0,0.0,0,0.0,0.0,9,122,2,80,-1
0.0867073252902781,0,0,0.0,0.0,179,0.04421936758893281,0.12370619487769959,13,18,573,3654,1
0.0867073252902781,1,5,0.05263157894736842,0.14867525836251314,380,0.2602739726027397,0.445982664836297,13,87,573,1267,1
0.08511444073903748,1,4,0.018433179723502304,0.07692307692307693,220,0.23060796645702306,0.37489369272333234,13,208,573,601,1
0.0867073252902781,1,2,0.05555555555555555,0.11094003924504582,391,0.3010007698229407,0.4887343454787093,13,25,573,1117,1
0.0841946465082036,1,2,0.029850746268656716,0.07412493166611012,91,0.11084043848964677,0.20647345841273834,13,56,573,339,1
0.08529771144430143,1,7,0.056910569105691054,0.1794871794871795,10,0.01697792869269949,0.08192869080628497,13,117,573,26,-1
0.0,0,0,0.0,0.0,0,0.0,0.0,13,24,573,5,-1
